cand,model,source,params,exit,exclude_earnings,variant,window,start,end,trading_days,total_return,cagr,ann_vol,sharpe,sortino,max_drawdown,max_dd_days,calmar,exposure,avg_positions,n_trades,win_rate,avg_win,avg_loss,payoff,profit_factor,expectancy,avg_hold_days,best_trade,worst_trade,net_pnl,bench_total_return,bench_cagr,bench_max_drawdown,bench_sharpe,top10_share,median_trade,pnl_wo_top10,target_share,monthly
1,multiday_runner_day2,리더보드(학습 선택),"{""day1_ret"": 0.5, ""day1_rvol"": 5}","{""stop_pct"": null, ""target_pct"": null, ""max_hold_days"": 3}",True,기본,학습,2023-11-01,2025-09-17,470,-0.17312636394240577,-0.09690522648119704,0.6779674740508593,0.1702687216214112,0.2826128190667735,-0.55203547066522,226,-0.17554166648824795,0.8574468085106383,2.382978723404255,375,0.376,0.3225062119043332,-0.18815042914146837,1.714087038631435,0.9624836381968401,0.003856467891753039,2.976,3.0551984134572896,-0.6407019484535852,-17312.6363942406,0.5954822261517272,0.2846494372237305,-0.18755226260622682,1.5981883034563042,,-0.06195273236348827,-181560.7753859909,0.0,
1,multiday_runner_day2,리더보드(학습 선택),"{""day1_ret"": 0.5, ""day1_rvol"": 5}","{""stop_pct"": null, ""target_pct"": null, ""max_hold_days"": 3}",True,기본,검증,2025-09-18,2026-09-17,251,1.1616570219975575,1.1683061415631522,1.1519314827234832,1.17700498553669,2.417808647492741,-0.5810579099547384,77,2.0106535365023386,0.9123505976095617,2.9243027888446216,246,0.4105691056910569,0.44173538045446187,-0.22878992891832625,1.9307466134672089,1.169061808496479,0.0465070476940786,2.975609756097561,3.720910863099605,-0.9742422398448457,116165.70219975547,0.1642705407480871,0.1649762502846266,-0.08884968175523733,1.2501935491561118,3.484517548915871,-0.0638213299135211,-288615.7256974272,0.0,25-09:-4% 25-10:-14% 25-11:+7% 25-12:+5% 26-01:+25% 26-02:-1% 26-03:+4% 26-04:+19% 26-05:+67% 26-06:+63% 26-07:-21% 26-08:-26% 26-09:-5%
1,multiday_runner_day2,리더보드(학습 선택),"{""day1_ret"": 0.5, ""day1_rvol"": 5}","{""stop_pct"": null, ""target_pct"": null, ""max_hold_days"": 3}",True,기본,검증 전반,2025-09-18,2026-03-13,122,0.2589459252460964,0.6090590936555353,0.6156253024638387,1.0728277027561937,1.933242474392398,-0.2224109008755244,77,2.738440837467784,0.8442622950819673,2.1557377049180326,88,0.5113636363636364,0.2441615799750625,-0.1887136042248173,1.293820766012127,1.3090360983013007,0.032643024059212135,2.977272727272727,0.9618486158050277,-0.6798073062622383,25894.592524609656,0.005781079897152042,0.01197803168050049,-0.050713544612239314,0.15960507038648797,2.2422835377070993,0.003022124570415177,-32168.42600895589,0.0,
1,multiday_runner_day2,리더보드(학습 선택),"{""day1_ret"": 0.5, ""day1_rvol"": 5}","{""stop_pct"": null, ""target_pct"": null, ""max_hold_days"": 3}",True,기본,검증 후반,2026-03-16,2026-09-17,129,0.72740198326945,1.9090103982648903,1.4962430882363382,1.3602195688275402,3.0168663420450264,-0.581014553727321,41,3.285649879195312,0.9689922480620154,3.643410852713178,158,0.35443037974683544,0.6005000415539791,-0.2444258289131358,2.4567781736658656,1.1502471028175447,0.055041568214449235,2.962025316455696,3.720910863099605,-0.9742422398448458,72740.1983269448,0.14591664798755333,0.3048324666446445,-0.055299033326180136,2.0248452496039726,4.4692246994527,-0.09647545048880886,-252352.0926789248,0.0,
2,pullback_lowvol,리더보드(학습 선택),"{""surge_pct"": 0.1, ""vol_frac"": 0.3, ""hold_pct"": 0.85}","{""stop_pct"": null, ""target_pct"": null, ""max_hold_days"": 10}",True,기본,학습,2023-11-01,2025-09-17,470,1.3945474386506,0.5970860466130818,0.5282338045910434,1.1470547201521635,2.1784945064455163,-0.5189873702280294,272,1.150482807222723,0.997872340425532,9.95531914893617,470,0.4340425531914894,0.2883962415500826,-0.15422111066615493,1.8700179262382493,1.3265557406264536,0.037893654976637534,9.934042553191489,5.661702382476574,-0.6836894165800858,139454.74386505998,0.5954822261517272,0.2846494372237305,-0.18755226260622682,1.5981883034563042,1.268362910522141,-0.029854813657762914,-37424.4809497472,0.0,
2,pullback_lowvol,리더보드(학습 선택),"{""surge_pct"": 0.1, ""vol_frac"": 0.3, ""hold_pct"": 0.85}","{""stop_pct"": null, ""target_pct"": null, ""max_hold_days"": 10}",True,기본,검증,2025-09-18,2026-09-17,251,-0.3896908293013003,-0.3908903037558724,0.9019982807773272,-0.19872442963770065,-0.562469946348013,-0.6356603808325206,168,-0.6149357668696068,0.9960159362549801,9.936254980079681,250,0.348,0.3633909504773596,-0.1523149244602209,2.3857868936032203,0.7740764126978138,0.027150720018057108,9.936,15.610089945301334,-0.6361416668505577,-38969.08293013016,0.1642705407480871,0.1649762502846266,-0.08884968175523733,1.2501935491561118,,-0.051806728768093405,-110366.11306731075,0.0,25-09:-10% 25-10:-18% 25-11:-3% 25-12:+16% 26-01:-5% 26-02:+7% 26-03:-11% 26-04:+8% 26-05:+6% 26-06:-32% 26-07:-27% 26-08:-12% 26-09:+61%
2,pullback_lowvol,리더보드(학습 선택),"{""surge_pct"": 0.1, ""vol_frac"": 0.3, ""hold_pct"": 0.85}","{""stop_pct"": null, ""target_pct"": null, ""max_hold_days"": 10}",True,기본,검증 전반,2025-09-18,2026-03-13,122,-0.16135655425627293,-0.3047461643172511,0.5312780283400461,-0.42957248396697423,-0.8455832742720986,-0.35479547373217657,81,-0.8589347578523336,0.9918032786885246,9.918032786885245,130,0.35384615384615387,0.20223332343228292,-0.12224635772209506,1.6543096023525194,0.8041291959314577,-0.007430470544392085,9.23076923076923,1.7674117545441612,-0.43421887824331395,-16135.65542562738,0.005781079897152042,0.01197803168050049,-0.050713544612239314,0.15960507038648797,,-0.04414650485095491,-56677.268475585464,0.0,
2,pullback_lowvol,리더보드(학습 선택),"{""surge_pct"": 0.1, ""vol_frac"": 0.3, ""hold_pct"": 0.85}","{""stop_pct"": null, ""target_pct"": null, ""max_hold_days"": 10}",True,기본,검증 후반,2026-03-16,2026-09-17,129,0.8347924861543803,2.272759164064777,3.7375132549771206,1.073394686114217,10.898355303529693,-0.4461889835064776,89,5.093714206486638,0.9922480620155039,9.914728682170542,130,0.36923076923076925,0.6181379202059237,-0.1680354471474093,3.6786162128259847,1.457108931749216,0.12224395002920596,9.761538461538462,22.65292719238983,-0.6687945468648417,83479.24861543791,0.14591664798755333,0.3048324666446445,-0.055299033326180136,2.0248452496039726,2.859189556036029,-0.0579540373775948,-155203.7471715573,0.0,
3,surge_chase,리더보드(학습 선택),"{""surge_pct"": 0.3, ""vol_mult"": 10.0, ""max_hold_days"": 5, ""stop_pct"": 0.1}",{},False,기본,학습,2023-11-01,2025-09-17,470,0.626950557383509,0.2981731813863968,1.1912659376482004,0.6114373363898239,2.2018831456048624,-0.6047152535608231,150,0.49308030454106305,0.9468085106382979,3.1340425531914895,588,0.23979591836734693,0.42420887003480023,-0.10545299770554993,4.022729360613277,1.0674137043370835,0.021557756293411574,1.7942176870748299,15.08171939914789,-0.2652789344467808,62695.055738350464,0.5954822261517272,0.2846494372237305,-0.18755226260622682,1.5981883034563042,7.7001513637651335,-0.10139260204114159,-420066.3632066401,0.0,
3,surge_chase,리더보드(학습 선택),"{""surge_pct"": 0.3, ""vol_mult"": 10.0, ""max_hold_days"": 5, ""stop_pct"": 0.1}",{},False,기본,검증,2025-09-18,2026-09-17,251,0.09588873334917758,0.09628859025590586,1.1482755500668802,0.5986102116953642,1.0567635478546202,-0.5179229423888579,180,0.18591296576240895,0.9760956175298805,4.135458167330677,411,0.20437956204379562,0.48567731438032,-0.11122769389417785,4.366514285933087,1.0372962353748578,0.010767490278712221,1.8077858880778588,5.604620558018431,-0.4392167182071436,9588.873334917713,0.1642705407480871,0.1649762502846266,-0.08884968175523733,1.2501935491561118,16.010261873406353,-0.10655033079986319,-143931.49982803807,0.0,25-09:+1% 25-10:-29% 25-11:-3% 25-12:-17% 26-01:+2% 26-02:+11% 26-03:-13% 26-04:+9% 26-05:+9% 26-06:+56% 26-07:-26% 26-08:-4% 26-09:+50%
